bruto,liquido
1193,912.995
1194,913.6000000000001
1195,914.2049999999999
1196,914.8100000000001
1197,915.415
1198,916.0200000000001
1199,916.6249999999999
1200,917.23
1201,917.8349999999999
1202,918.4399999999999
1203,919.0450000000001
1204,919.65
1205,920.2550000000001
1206,920.8599999999999
1207,921.465
1208,922.0699999999999
1209,922.675
1210,923.2800000000001
1211,923.885
1212,924.4900000000001
1213,925.0949999999999
1214,925.7
1215,926.305
1216,926.9100000000001
1217,927.5150000000001
1218,928.12
1219,928.7250000000001
1220,929.3299999999999
1221,929.9350000000001
1222,930.54
1223,931.1450000000001
1224,931.7499999999999
1225,932.355
1226,932.9599999999999
1227,933.5649999999999
1228,934.1700000000001
1229,934.775
1230,935.3800000000001
1231,935.9849999999999
1232,936.59
1233,937.1949999999999
1234,937.8
1235,938.4050000000001
1236,939.01
1237,939.6150000000001
1238,940.2199999999999
1239,940.825
1240,941.43
1241,942.0350000000001
1242,942.6400000000001
1243,943.245
1244,943.8500000000001
1245,944.4549999999999
1246,945.0600000000001
1247,945.665
1248,946.2700000000001
1249,946.8749999999999
1250,947.48
1251,948.0849999999999
1252,948.6899999999999
1253,949.2950000000001
1254,949.9
1255,950.5050000000001
1256,951.1099999999999
1257,951.715
1258,952.3199999999999
1259,952.9250000000001
1260,953.5300000000001
1261,954.135
1262,954.7400000000001
1263,955.3449999999999
1264,955.95
1265,956.555
1266,957.1600000000001
1267,957.7650000000001
1268,958.37
1269,958.9750000000001
1270,959.5799999999999
1271,960.1850000000001
1272,960.79
1273,961.3950000000001
1274,961.9999999999999
1275,962.605
1276,963.2099999999999
1277,963.8149999999999
1278,964.4200000000001
1279,965.025
1280,965.6300000000001
1281,966.2349999999999
1282,966.84
1283,967.4449999999999
1284,968.0500000000001
1285,968.6550000000001
1286,969.26
1287,969.8650000000001
1288,970.4699999999999
1289,971.075
1290,971.68
1291,972.2850000000001
1292,972.8900000000001
1293,973.495
1294,974.1000000000001
1295,974.7049999999999
1296,975.3100000000001
1297,975.915
1298,976.5200000000001
1299,977.1249999999999
1300,977.73
1301,978.3349999999999
1302,978.9399999999999
1303,979.5450000000001
1304,980.15
1305,980.7550000000001
1306,981.3599999999999
1307,981.965
1308,982.5699999999999
1309,983.1750000000001
1310,983.7800000000001
1311,984.385
1312,984.9900000000001
1313,985.5949999999999
1314,986.2
1315,986.805
1316,987.4100000000001
1317,988.0150000000001
1318,988.62
1319,989.2250000000001
1320,989.8299999999999
1321,990.4350000000001
1322,991.04
1323,991.6450000000001
1324,992.2499999999999
1325,992.855
1326,993.4599999999999
1327,994.0649999999999
1328,994.6700000000001
1329,995.275
1330,995.8800000000001
1331,996.4849999999999
1332,997.09
1333,997.6949999999999
1334,998.3000000000001
1335,998.9050000000001
1336,999.51
1337,1000.1150000000001
1338,1000.7199999999999
1339,1001.325
1340,1001.93
1341,1002.5350000000001
1342,1003.1400000000001
1343,1003.745
1344,1004.3500000000001
1345,1004.9549999999999
1346,1005.5600000000001
1347,1006.165
1348,1006.7700000000001
1349,1007.3749999999999
1350,1007.98
1351,1008.5849999999999
1352,1009.1899999999999
1353,1009.7950000000001
1354,1010.4
1355,1011.0050000000001
1356,1011.6099999999999
1357,1012.215
1358,1012.8199999999999
1359,1013.4250000000001
1360,1014.0300000000001
1361,1014.635
1362,1015.2400000000001
1363,1015.8449999999999
1364,1016.45
1365,1017.055
1366,1017.6600000000001
1367,1018.2650000000001
1368,1018.87
1369,1019.4750000000001
1370,1020.0799999999999
